,3d%,3d%_allowed,TOP,date,first_downs,first_downs_allowed,margin,opp,pass_yards,pass_yards_allowed,penalty_yards,plays,points,points_allowed,result,rush_yards,rush_yards_allowed,sacked,sacks,takeaways,team,total_points,total_yards,total_yards_allowed,turnovers
72,0.36363636363636365,0.3333333333333333,27.566666666666666,09/24/2017,19,18,-6,ChicagoChi,212,84,40,59,0,6,Loss,70,222,3,2,2,PittsburghPit,6,282,306,2
73,0.3333333333333333,0.36363636363636365,33.983333333333334,09/24/2017,18,19,6,PittsburghPit,84,212,73,62,6,0,Win,222,70,2,3,2,ChicagoChi,6,306,282,2
74,0.38461538461538464,0.47058823529411764,26.55,09/24/2017,25,16,-3,IndianapolisInd,235,243,113,69,28,31,Loss,111,92,1,3,1,ClevelandCle,59,346,335,3
75,0.47058823529411764,0.38461538461538464,33.45,09/24/2017,16,25,3,ClevelandCle,243,235,99,63,31,28,Win,92,111,3,1,3,IndianapolisInd,59,335,346,1
76,0.42857142857142855,0.46153846153846156,33.63333333333333,09/24/2017,23,21,-3,New EnglandNE,292,337,60,67,33,36,Loss,125,59,2,5,1,HoustonHou,69,417,396,2
77,0.46153846153846156,0.42857142857142855,26.366666666666667,09/24/2017,21,23,3,HoustonHou,337,292,69,60,36,33,Win,59,125,5,2,2,New EnglandNE,69,396,417,1
78,0.08333333333333333,0.3076923076923077,23.866666666666667,09/24/2017,16,16,-14,NY JetsNYJ,195,233,51,63,6,20,Loss,30,103,3,2,1,MiamiMia,26,225,336,2
79,0.3076923076923077,0.08333333333333333,36.13333333333333,09/24/2017,16,16,14,MiamiMia,233,195,94,59,20,6,Win,103,30,2,3,2,NY JetsNYJ,26,336,225,1
80,0.16666666666666666,0.5384615384615384,22.233333333333334,09/24/2017,20,25,-17,MinnesotaMin,316,369,37,51,17,34,Loss,26,125,2,0,0,Tampa BayTB,51,342,494,3
81,0.5384615384615384,0.16666666666666666,37.766666666666666,09/24/2017,25,20,17,Tampa BayTB,369,316,53,70,34,17,Win,125,26,0,2,3,MinnesotaMin,51,494,342,0
82,0.3,0.35714285714285715,22.466666666666665,09/24/2017,21,24,-3,PhiladelphiaPhi,366,161,137,64,24,27,Loss,49,193,0,3,1,NY GiantsNYG,51,415,354,2
83,0.35714285714285715,0.3,37.53333333333333,09/24/2017,24,21,3,NY GiantsNYG,161,366,103,73,27,24,Win,193,49,3,0,2,PhiladelphiaPhi,51,354,415,1
84,0.2857142857142857,0.2857142857142857,27.316666666666666,09/24/2017,24,21,-6,TennesseeTen,364,225,98,72,27,33,Loss,69,195,1,0,0,SeattleSea,60,433,420,0
85,0.2857142857142857,0.2857142857142857,32.68333333333333,09/24/2017,21,24,6,SeattleSea,225,364,45,67,33,27,Win,195,69,0,1,0,TennesseeTen,60,420,433,0
86,0.3333333333333333,0.4666666666666667,34.28333333333333,09/24/2017,21,22,-3,Green BayGB,191,280,68,60,0,3,Loss,110,64,3,6,1,CincinnatiCin,3,301,344,1
